Species,Region,Count
ACT flea iflavirus,Oceans and Seas,2
ANAJ Hantavirus,South America,1
ANMV-1 virus,Unknown,69
APSE phage Eptesicus fuscus/P5/IT/USA/2009,North America,1
Aalivirus A,Asia,3
Abaca bunchy top virus,Asia,18
Abakapovirus asiadaptatum,North America,3
Abakapovirus humadaptatum,North America,3
Abakapovirus humenecus,North America,3
Abakapovirus humicola,North America,3
Abalone asfa-like virus,Asia,159
Abalone herpesvirus Taiwan/2004,Asia,33
Abalone herpesvirus Taiwan/2005,Asia,66
Abalone herpesvirus type 2 Taiwan/2007,Asia,1
Abalone shriveling syndrome-associated virus,Asia,62
Abatino macacapox virus,Europa,416
Abdera bunya-like virus,Europa,1
Abisko virus,Europa,10
Abras orthobunyavirus,South America,6
Abu Hammad orthonairovirus,Africa,3
Abu Mina orthonairovirus,Africa,3
Abutilon Brazil virus,South America,14
Abutilon golden mosaic virus,North America,10
Abutilon mosaic Bolivia virus,South America,14
Abutilon mosaic Brazil virus,South America,26
Abutilon mosaic virus,Africa,2
Abutilon mosaic virus,Asia,20
Abutilon mosaic virus,Europa,14
Abutilon mosaic virus,Oceans and Seas,2
Abutilon mosaic virus,South America,1
Academ virus,Europa,2
Acalypha yellow mosaic Siliguri virus,Asia,4
Acalypha yellow mosaic virus,Asia,3
Acanthamoeba castellanii mamavirus,Europa,991
Acanthamoeba castellanii medusavirus,Asia,429
Acanthamoeba polyphaga lentillevirus,Europa,807
Acanthamoeba polyphaga mimivirus,Asia,898
Acanthamoeba polyphaga mimivirus,Europa,1
Acanthamoeba polyphaga mimivirus,South America,6031
Acanthis flammea CRESS-DNA-virus sp.,Asia,1
Acanthocystis turfacea chlorella virus 1,Europa,1720
Acanthurus bariene nervous necrosis virus,Asia,1
Acanthurus dussumieri iridovirus,Asia,1
Acara orthobunyavirus,North America,3
Acara orthobunyavirus,South America,3
Acartia tonsa copepod circovirus,North America,4
Acaryochloris phage A-HIS1,Oceans and Seas,95
Acaryochloris phage A-HIS2,Oceans and Seas,104
Accipiter gentilis Genomoviridae sp.,Asia,2
Accipiter gentilis ambidensovirus,Asia,4
Accipiter gentilis parvo-like hybrid virus,Asia,2
Accipiter gentilis parvoviridae sp.,Asia,1
Acerodon celebensis polyomavirus 1,Asia,8
Acerodon celebensis polyomavirus 2,Asia,8
Acetes erythraeus iridovirus,Africa,1
Achaea janata granulovirus,Asia,6
Acheta domesticus Iflavirus,Europa,2
Acheta domesticus virus,North America,1
Acheta domesticus volvovirus,Asia,13
Acheta domesticus volvovirus,North America,8
Achimota pararubulavirus 1,Africa,16
Achimota pararubulavirus 2,Africa,16
Achimota pararubulavirus 3,Africa,8
Achlievirus humihabitans,North America,3
Achromobacter phage AMA1,Oceans and Seas,62
Achromobacter phage AMA2,Oceans and Seas,68
Achromobacter phage JWDelta,Europa,89
Achromobacter phage JWF,Europa,236
Achromobacter phage Mano,North America,128
Achromobacter phage phiAxp-1,Asia,128
Achromobacter phage vB_AchrS_AchV4,Europa,164
Achromobacter phage vB_Ade_ART,Europa,127
Achromobacter phage vB_AxyP_19-32_Axy09,Africa,49
Achromobacter phage vB_AxyP_19-32_Axy13,Africa,71
Achromobacter phage vB_AxyP_19-32_Axy21,Africa,49
Achromobacter phage vB_AxyP_19-32_Axy22,Africa,78
Achromobacter phage vB_AxyP_19-32_Axy23,Africa,50
Achromobacter phage vB_AxyS_19-32_Axy06,Africa,55
Achromobacter phage vB_AxyS_19-32_Axy14,Africa,60
Achromobacter phage vB_AxyS_19-32_Axy16,Africa,58
Achromobacter phage vB_AxyS_19-32_Axy18,Africa,64
Achromobacter phage vB_AxyS_19-32_Axy19,Africa,65
Achromobacter phage vB_AxyS_19-32_Axy20,Africa,66
Achromobacter virus 83-24,Europa,122
Achromobacter virus Axy04,Africa,160
Achromobacter virus Axy10,Africa,166
Achromobacter virus Axy11,Africa,162
Achromobacter virus Axy12,Africa,164
Achromobacter virus Axy24,Africa,164
Achromobacter virus JWAlpha,Europa,182
Achromobacter virus JWX,Europa,134
Achromobacter virus Motura,North America,688
Achyranthes bidentata mosaic virus,Asia,2
Achyranthes virus A,Asia,1
Acidianus filamentous virus 2,Europa,104
Acidianus spindle-shaped virus 1,North America,76
Acidianus tailed spindle virus,North America,190
Acidianus two-tailed virus,Europa,144
Acidianus two-tailed virus 2,Europa,63
Acidianus two-tailed virus variant 1,Europa,66
Acidomyces richmondensis tobamo-like virus 1,North America,4
Acidovorax phage ACF1,Europa,89
Acinetobacter phage 5W,Asia,61
Acinetobacter phage ABP-01,Asia,1
Acinetobacter phage ABP-04,Asia,1
Acinetobacter phage ABPH49,Asia,243
Acinetobacter phage AJO2,Asia,25
Acinetobacter phage AM106,Europa,70
Acinetobacter phage APK09,Europa,56
Acinetobacter phage APK15,Europa,54
Acinetobacter phage APK16,Europa,54
Acinetobacter phage APK20,Europa,58
Acinetobacter phage APK37,Europa,56
Acinetobacter phage APK77,Europa,57
Acinetobacter phage APK86,Europa,56
Acinetobacter phage Ab105-2phideltaCI404ad,Europa,82
Acinetobacter phage Ab11510-phi,North America,76
Acinetobacter phage Ab124,Asia,47
Acinetobacter phage AbTJ,Asia,62
Acinetobacter phage Ab_121,Asia,159
Acinetobacter phage Ab_SZ3,Asia,56
Acinetobacter phage Abp9,Asia,81
Acinetobacter phage Abp95,Asia,57
Acinetobacter phage Abraxas,Europa,249
Acinetobacter phage Aristophanes,Europa,46
Acinetobacter phage BS46,Europa,176
Acinetobacter phage Barton,North America,61
Acinetobacter phage Bestia,Europa,162
Acinetobacter phage DMU1,North America,59
Acinetobacter phage Effie,North America,80
Acinetobacter phage Henu6,Asia,234
Acinetobacter phage Herod,Europa,168
Acinetobacter phage JeffCo,North America,56
Acinetobacter phage Liucustia,Europa,157
Acinetobacter phage Maestro,North America,264
Acinetobacter phage Melin,North America,252
Acinetobacter phage Meroveus,Europa,248
Acinetobacter phage Minot,North America,248
Acinetobacter phage Mithridates,Europa,178
Acinetobacter phage Mokit,North America,250
Acinetobacter phage Morttis,North America,259
Acinetobacter phage Octan,Europa,247
Acinetobacter phage Paty,North America,55
Acinetobacter phage PhaR5,Asia,244
Acinetobacter phage Phab24,Asia,171
Acinetobacter phage Pipo,North America,58
Acinetobacter phage RL-2015,Asia,4
Acinetobacter phage SH-Ab 15599,Asia,177
Acinetobacter phage Stupor,Europa,245
Acinetobacter phage TAC1,Asia,163
Acinetobacter phage TaPaz,Europa,178
Acinetobacter phage VB_ApiP_XC38,Asia,194
Acinetobacter phage YMC11/12/R1215,Asia,85
Acinetobacter phage YMC11/12/R2315,Asia,170
Acinetobacter phage YMC13/03/R2096,Asia,324
Acinetobacter phage ZaA-2018a,Asia,1
Acinetobacter phage ZaA-2018b,Asia,1
Acinetobacter phage phiAB2,Asia,6
Acinetobacter phage phiAC-1,Asia,164
Acinetobacter phage vB_AbaM_IME285,Asia,85
Acinetobacter phage vB_AbaM_P1,Asia,169
Acinetobacter phage vB_AbaP_ABWU2101,Asia,57
Acinetobacter phage vB_AbaP_APK116,Europa,49
Acinetobacter phage vB_AbaP_APK128,Europa,52
Acinetobacter phage vB_AbaP_APK14,Europa,55
Acinetobacter phage vB_AbaP_APK2,Europa,50
Acinetobacter phage vB_AbaP_APK2-2,Europa,50
Acinetobacter phage vB_AbaP_APK26,Europa,54
Acinetobacter phage vB_AbaP_APK32,Europa,52
Acinetobacter phage vB_AbaP_APK37,Europa,51
Acinetobacter phage vB_AbaP_APK44,Europa,50
Acinetobacter phage vB_AbaP_APK48,Europa,49
Acinetobacter phage vB_AbaP_APK48-3,Europa,54
Acinetobacter phage vB_AbaP_APK81,Europa,55
Acinetobacter phage vB_AbaP_APK87,Europa,54
Acinetobacter phage vB_AbaP_APK89,Europa,52
Acinetobacter phage vB_AbaP_APK93,Europa,50
Acinetobacter phage vB_AbaP_Alexa,Europa,58
Acinetobacter phage vB_AbaP_CEB1,Europa,1
Acinetobacter phage vB_AbaP_IME546,Asia,101
Acinetobacter phage vB_AbaP_PMK34,Africa,50
Acinetobacter phage vB_AbaP_WU2001,Asia,47
Acinetobacter phage vB_phiAcib_BQ1,Asia,1
Acinetobacter phage vB_phiAcib_BQ2,Asia,1
Acinetobacter phage vB_phiAcib_BQ4,Asia,1
Acinetobacter virus AB2,Asia,164
Acinetobacter virus AM101,Europa,500
Acinetobacter virus AP22,Asia,4
Acinetobacter virus AS11,Europa,102
Acinetobacter virus AS12,Europa,98
Acinetobacter virus AbC62,Asia,168
Acinetobacter virus Aci01-1,Africa,326
Acinetobacter virus Aci02-2,Africa,342
Acinetobacter virus Aci05,Africa,320
Acinetobacter virus Aci07,Africa,104
Acinetobacter virus Aci08,Africa,106
Acinetobacter virus Apostate,Europa,488
Acinetobacter virus B1,Europa,102
Acinetobacter virus B1251,Asia,124
Acinetobacter virus B3,Europa,98
Acinetobacter virus B5,Europa,106
Acinetobacter virus Berthold,Europa,500
Acinetobacter virus Fri1,Europa,108
Acinetobacter virus IME200,Asia,108
Acinetobacter virus IMEAB3,Asia,114
Acinetobacter virus KARL1,Europa,506
Acinetobacter virus Kimel,Europa,504
Acinetobacter virus Konradin,Europa,498
Acinetobacter virus LZ35,Asia,166
Acinetobacter virus Lazarus,Europa,494
Acinetobacter virus Loki,Europa,102
Acinetobacter virus ME3,Europa,652
Acinetobacter virus P1,Europa,98
Acinetobacter virus P2,Europa,108
Acinetobacter virus PhT2,Asia,492
Acinetobacter virus R3177,Asia,160
Acinetobacter virus WCHABP1,Asia,178
Acinetobacter virus WCHABP12,Asia,176
Acinetobacter virus WCHABP5,Asia,94
Acinetobacter virus ZZ1,Asia,512
Acinetobacter virus phiAB6,Asia,90
Acinetobacter virus vB_AbaP_AGC01,Europa,54
Acinonyx jubatus papillomavirus type 1,Africa,70
Acinopterus angulatus reovirus,North America,1
Acipenser iridovirus-European,Europa,19
Acipenserid herpesvirus 1,Europa,2
Acipenserid herpesvirus 1,North America,3
Acipenserid herpesvirus 2,Europa,16
Acipenserid herpesvirus 2,North America,99
Acipenserid herpesvirus isolate Canada,North America,1
Ackermannviridae sp.,North America,2357
Ackermannviridae sp. ctClB2,North America,40
Ackermannviridae sp. ctQad106,North America,75
Ackermannviridae sp. ctaCq7,North America,93
Aconite virus A,Asia,6
Aconitum latent virus,Asia,12
Acremonium magoulivirus,Europa,1
Acropoma japonicum iridovirus,Asia,1
Acropoma japonicum nervous necrosis virus,Asia,1
Acropora pruinosa phage,Asia,1
Actias selene nucleopolyhedrovirus,Europa,2
Actinidia chlorotic ringspot-associated emaravirus,Asia,66
Actinidia cytorhabdovirus JS27,Asia,7
Actinidia emaravirus 2,Asia,12
Actinidia seed borne latent virus,Asia,6
Actinidia seed borne latent virus,Oceans and Seas,8
Actinidia seed-borne latent like virus,Asia,4
Actinidia virus 1,Asia,165
Actinidia virus 1,Europa,24
Actinidia virus A,Asia,81
Actinidia virus A,Oceans and Seas,10
Actinidia virus B,Asia,52
Actinidia virus B,Oceans and Seas,10
Actinidia virus C,Asia,26
Actinidia virus X,Africa,5
Actinidia virus X,Europa,33
Actinidia virus X,North America,12
Actinidia virus X,Oceans and Seas,5
Actinidia yellowing ringspot virus,Asia,4
Actinidia yellowing virus 1,Asia,1
Actinidia yellowing virus 2,Asia,5
Actinoplanes phage phiAsp2,Europa,76
Acute bee paralysis virus,Africa,6
Acute bee paralysis virus,Asia,71
Acute bee paralysis virus,Europa,101
Acute bee paralysis virus,North America,2
Acute bee paralysis virus,South America,4
Acyrthosiphon pisum virus,Europa,4
Adagum virus,Europa,1
Adahivirus asienecus,North America,4
Adahmuvirus asiocola,Asia,3
Adana phlebovirus,Asia,8
Adelaide River ephemerovirus,Oceans and Seas,19
Adelphocoris suturalis virus,Asia,10
Adeno-Associated Virus Clade A,Asia,33
Adeno-Associated Virus Clade C,Asia,2
Adeno-Associated Virus Clade D,Asia,2
Adeno-Associated Virus PREDICT_AaV-10,Asia,3
Adeno-Associated Virus PREDICT_AaV-11,Asia,6
Adeno-Associated Virus PREDICT_AaV-5,Asia,1
Adeno-Associated Virus PREDICT_AaV-6,Asia,2
Adeno-Associated Virus PREDICT_AaV-7,Asia,2
Adeno-Associated Virus PREDICT_AaV-8,Asia,4
Adeno-Associated Virus PREDICT_AaV-9,Asia,1
Adeno-Associated Virus rh.8,Asia,32
Adeno-associated dependoparvovirus A,Africa,23
Adeno-associated dependoparvovirus A,Asia,78
Adeno-associated dependoparvovirus A,North America,5
Adeno-associated dependoparvovirus B,North America,2
Adeno-associated virus,Asia,39
Adeno-associated virus,Europa,505
Adeno-associated virus,North America,183
Adeno-associated virus,Oceans and Seas,17
Adeno-associated virus - Po1,North America,4
Adeno-associated virus - Po2,North America,1
Adeno-associated virus - Po3,North America,1
Adeno-associated virus Croatia cul1_12,Europa,2
Adeno-associated virus VR-195,North America,2
Adeno-associated virus VR-355,North America,2
Adenoviridae sp.,Africa,1
Adenoviridae sp.,Asia,29
Adenoviridae sp.,Europa,6
Adenovirus Hu/RJ/2006-08/Brazil/2006,South America,1
Adenovirus Hu/RJ/2006-13/Brazil/2006,South America,1
Adenovirus Hu/RJ/2006-14/Brazil/2006,South America,1
Adenovirus Hu/RJ/2008-317/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-318/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-319/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-320/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-322/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-323/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-324/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-334/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-335/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-337/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-338/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-339/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-340/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-341/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-342/Brazil/2008,South America,1
Adenovirus Hu/RJ/2008-356/Brazil/2008,South America,1
Adenovirus Lopburi057/2006/THA,Asia,1
Adenovirus Lopburi070/2006/THA,Asia,1
Adenovirus Lopburi073/2006/THA,Asia,1
Adenovirus Lopburi078/2006/THA,Asia,1
Adenovirus PREDICT_AdV-13,South America,7
Adenovirus PREDICT_AdV-14,South America,1
Adenovirus PREDICT_AdV-15,South America,2
Adenovirus PREDICT_AdV-16,South America,5
Adenovirus PREDICT_AdV-17,Africa,2
Adenovirus PREDICT_AdV-18,Africa,2
Adenovirus PREDICT_AdV-19,Africa,1
Adenovirus PREDICT_AdV-2,Africa,1
Adenovirus PREDICT_AdV-20,Africa,1
Adenovirus PREDICT_AdV-21,Africa,2
Adenovirus PREDICT_AdV-22,Africa,4
Adenovirus PREDICT_AdV-23,Africa,1
Adenovirus PREDICT_AdV-24,Africa,7
Adenovirus PREDICT_AdV-25,Africa,2
Adenovirus PREDICT_AdV-26,Asia,1
Adenovirus PREDICT_AdV-27,Asia,1
Adenovirus PREDICT_AdV-28,Africa,3
Adenovirus PREDICT_AdV-29,Africa,4
Adenovirus PREDICT_AdV-30,Africa,1
Adenovirus PREDICT_AdV-31,Africa,2
Adenovirus PREDICT_AdV-32,Africa,1
Adenovirus PREDICT_AdV-33,Africa,3
Adenovirus PREDICT_AdV-34,Africa,3
Adenovirus PREDICT_AdV-35,Africa,4
Adenovirus PREDICT_AdV-36,Africa,3
Adenovirus PREDICT_AdV-37,Africa,2
Adenovirus PREDICT_AdV-38,Africa,12
Adenovirus PREDICT_AdV-39,Africa,1
Adenovirus PREDICT_AdV-40,Africa,1
Adenovirus PREDICT_AdV-41,Africa,2
Adenovirus PREDICT_AdV-42,Africa,1
Adenovirus PREDICT_AdV-43,Africa,3
Adenovirus PREDICT_AdV-44,Africa,3
Adenovirus PREDICT_AdV-45,Africa,2
Adenovirus PREDICT_AdV-46,Africa,1
Adenovirus PREDICT_AdV-47,Africa,1
Adenovirus PREDICT_AdV-48,Africa,4
Adenovirus PREDICT_AdV-49,Africa,7
Adenovirus PREDICT_AdV-50,Africa,3
Adenovirus PREDICT_AdV-51,Africa,1
Adenovirus PREDICT_AdV-52,Africa,1
Adenovirus PREDICT_AdV-53,Africa,1
Adenovirus PREDICT_AdV-54,Africa,2
Adenovirus PREDICT_AdV-55,Asia,1
Adenovirus PREDICT_AdV-56,Africa,1
Adenovirus PREDICT_AdV-57,Africa,1
Adenovirus PREDICT_AdV-58,Africa,2
Adenovirus PREDICT_AdV-59,Africa,1
Adenovirus PREDICT_AdV-60,Africa,1
Adenovirus PREDICT_AdV-61,Africa,1
Adenovirus PREDICT_AdV-62,Africa,1
Adenovirus PREDICT_AdV-63,Africa,1
Adenovirus PREDICT_AdV-64,Africa,2
Adenovirus PREDICT_AdV-65,Africa,1
Adenovirus PREDICT_AdV-66,Asia,5
Adenovirus PREDICT_AdV-67,Asia,1
Adenovirus PREDICT_AdV-68,Africa,3
Adenovirus PREDICT_AdV-69,Asia,2
Adenovirus PREDICT_AdV-70,Asia,1
Adenovirus PREDICT_AdV-71,South America,2
Adenovirus PREDICT_AdV-72,Asia,3
Adenovirus PREDICT_AdV-73,Africa,5
Adenovirus PREDICT_AdV-74,Africa,6
Adenovirus PREDICT_AdV-75,Africa,109
Adenovirus PREDICT_AdV-77,Asia,1
Adenovirus PREDICT_AdV-78,Africa,1
Adenovirus PREDICT_AdV-79,Africa,1
Adenovirus PREDICT_AdV-80,Africa,1
Adenovirus PREDICT_AdV-81,North America,1
Adenovirus PREDICT_AdV-87,North America,3
Adenovirus PREDICT_AdV-90,Asia,6
Adenovirus PREDICT_AdV-91,Asia,1
Adenovirus red squirrel/DEU/JK-2011,Europa,2
Adenovirus sp.,Asia,17
Adenovirus sp.,Oceans and Seas,1
Adenovirus squirrel/298/07-19/PT,Europa,2
Adenovirus squirrel/96-29/KOR,Asia,2
Adenovirus squirrel/GBR/SG-2012,Europa,2
Adintovirus sp.,North America,23
Adler hantavirus,Europa,25
Adonis mosaic virus,Asia,12
Adoxophyes honmai entomopoxvirus,Asia,494
Adoxophyes orana granulovirus,Asia,148
Adoxophyes orana granulovirus,Europa,4
Adoxophyes orana nucleopolyhedrovirus,Europa,242
Aedes Ifla-like virus,Europa,1
Aedes aegypti Thai densovirus,Asia,14
Aedes aegypti To flavivirus-like,South America,1
Aedes aegypti To virus 1,South America,2
Aedes aegypti To virus 2,South America,3
Aedes aegypti anphevirus,North America,33
Aedes aegypti anphevirus,Oceans and Seas,4
Aedes aegypti toti-like virus,North America,4
Aedes aegypti totivirus,Africa,2
Aedes aegypti totivirus,North America,45
Aedes aegypti totivirus 2,South America,3
Aedes aegypti virga-like virus,Africa,2
Aedes alboannulatus orthomyxo-like virus,Oceans and Seas,4
Aedes alboannulatus toti-like virus 1,Oceans and Seas,4
Aedes albopictus anphevirus,North America,7
Aedes albopictus densovirus 5,Asia,3
Aedes albopictus densovirus 7,Asia,3
Aedes albopictus negev-like virus,Oceans and Seas,6
Aedes angustivittatus narnavirus,North America,1
Aedes anphevirus,Africa,9
Aedes anphevirus,Asia,33
Aedes anphevirus,North America,24
Aedes anphevirus,Oceans and Seas,4
Aedes anphevirus,South America,5
Aedes birnavirus,Oceans and Seas,4
Aedes camptorhynchus negev-like virus,Oceans and Seas,10
Aedes camptorhynchus reo-like virus,Oceans and Seas,8
Aedes camptorhynchus toti-like virus 1,Oceans and Seas,4
Aedes detritus orthomyxo-like virus,Europa,4
Aedes flavivirus,Africa,24
Aedes flavivirus,Asia,68
Aedes flavivirus,Europa,12
Aedes flavivirus,North America,3
Aedes flavivirus,South America,1
Aedes galloisi flavivirus,Asia,2
Aedes iflavi-like virus 1,South America,3
Aedes iflavi-like virus 2,South America,2
Aedes japonicus narnavirus 1,Asia,2
Aedes japonicus narnavirus 1,Europa,2
Aedes notoscriptus flavivirus,Oceans and Seas,2
Aedes permutotetra-like virus 1,South America,1
Aedes permutotetra-like virus 2,South America,2
Aedes phasmavirus,Asia,27
Aedes pseudoscutellaris reovirus,Africa,9
Aedes pseudoscutellaris reovirus,Europa,18
Aedes rhabdo-like virus,South America,1
Aedes sobemo-like virus,South America,4
Aedes sollicitans nucleopolyhedrovirus,North America,2
Aedes taeniorhynchus narnavirus,North America,1
Aedes vexans iflavirus,Africa,1
Aegithalos caudatus CRESS-DNA-virus sp.,Asia,1
Aegithalos caudatus Genomoviridae sp.,Asia,6
Aegithalos caudatus ambidensovirus,Asia,4
Aegithalos caudatus parvoviridae sp.,Asia,11
Aeonium ringspot virus,Europa,4
Aeribacillus virus AP45,Europa,146
Aerococcus phage vB_AviM_AVP,Asia,165
Aeromonas phage 13AhydR10PP,Europa,80
Aeromonas phage 14AhydR10PP,Europa,82
Aeromonas phage 2_D05,Asia,166
Aeromonas phage 4_4512,Asia,62
Aeromonas phage 4_D05,Asia,148
Aeromonas phage 4_L372X,Asia,82
Aeromonas phage 50AhydR13PP,Europa,490
Aeromonas phage 60AhydR15PP,Europa,494
Aeromonas phage 62AhydR11PP,Europa,64
Aeromonas phage 85AhydR10PP,Europa,80
Aeromonas phage AP1,Asia,455
Aeromonas phage Ah1,Europa,664
Aeromonas phage AhyVDH1,Asia,59
Aeromonas phage Akh-2,Asia,223
Aeromonas phage Atoyac1,North America,46
Aeromonas phage Atoyac10,North America,46
Aeromonas phage Atoyac13,North America,46
Aeromonas phage Atoyac14,North America,46
Aeromonas phage Atoyac15,North America,50
Aeromonas phage Atoyac23,North America,46
Aeromonas phage BUCT551,Asia,148
Aeromonas phage BUCT552,Asia,74
Aeromonas phage BUCT695,Asia,127
Aeromonas phage CF8,Asia,244
Aeromonas phage D3,Asia,267
Aeromonas phage D6,Asia,267
Aeromonas phage D9,Asia,271
Aeromonas phage HJG,Asia,26
Aeromonas phage LAh1,Oceans and Seas,45
Aeromonas phage LAh10,Oceans and Seas,228
Aeromonas phage LAh2,Oceans and Seas,45
Aeromonas phage LAh3,Oceans and Seas,50
Aeromonas phage LAh4,Oceans and Seas,52
Aeromonas phage LAh5,Oceans and Seas,53
Aeromonas phage LAh_7,Oceans and Seas,150
Aeromonas phage MJG,Asia,35
Aeromonas phage PAS-1,Asia,7
Aeromonas phage PS,Asia,49
Aeromonas phage PS1,Asia,247
Aeromonas phage PS2,Asia,249
Aeromonas phage PVN02,Asia,64
Aeromonas phage PVN03,Asia,64
Aeromonas phage PVN04,Asia,65
Aeromonas phage PVN05,Asia,66
Aeromonas phage PZL-Ah1,Asia,44
Aeromonas phage PZL-Ah152,Asia,54
Aeromonas phage PZL-Ah8,Asia,52
Aeromonas phage V46,Europa,1
Aeromonas phage VTCCBP2,Asia,1
Aeromonas phage VTCCBPA5,Asia,1
Aeromonas phage pAh6.2TG,Asia,65
Aeromonas phage phiARM81ld,Europa,61
Aeromonas phage phiARM81mr,Europa,70
Aeromonas phage phiAS5,Asia,686
Aeromonas phage vB_AhyS-A18P4,Asia,146
Aeromonas phage vB_AsM_ZHF,Asia,237
Aeromonas phage vB_AsaM_LPM4,North America,55
Aeromonas virus 25AhydR2PP,Europa,102
Aeromonas virus 2L372D,Asia,434
Aeromonas virus 2L372X,Asia,422
Aeromonas virus 4-4572,Asia,308
Aeromonas virus 4L372D,Asia,502
Aeromonas virus 4L372XY,Asia,442
Aeromonas virus 56,Europa,166
Aeromonas virus A8-29,Asia,370
Aeromonas virus AS4,Asia,542
Aeromonas virus AS7,Asia,102
Aeromonas virus CC2,Asia,854
Aeromonas virus CF7,Asia,98
Aeromonas virus LAh6,Oceans and Seas,328
Aeromonas virus LAh8,Oceans and Seas,286
Aeromonas virus LAh9,Oceans and Seas,294
Aeromonas virus pAh6C,Asia,172
Aeropyrum coil-shaped virus,Asia,114
Aeropyrum globular virus 1,Asia,66
Aeropyrum pernix bacilliform virus 1,Asia,28
Aesopia cornuta ranavirus,Asia,2
African cassava mosaic Burkina Faso virus,Africa,34
African cassava mosaic virus,Africa,2982
African cassava mosaic virus,Asia,51
African cassava mosaic virus,North America,1
African cichlid hepadnavirus,Africa,1
African cichlid nackednavirus,Africa,5
African eggplant mosaic virus,Africa,2
African eggplant yellowing virus,Africa,21
African horse sickness virus,Africa,2434
African horse sickness virus,Asia,33
African horse sickness virus,Europa,3
African pygmy hedgehog adenovirus 1,Asia,29
African swine fever virus,Africa,6567
African swine fever virus,Asia,6341
African swine fever virus,Europa,22042
African swine fever virus,North America,17
African swine fever virus,South America,10
African termite bidnaparvovirus,Africa,7
Afrovirus Urmite69,Europa,1
Agama adenovirus 1 REM-2013,Europa,1
Agamid adenovirus 1,Asia,2
Agamid adenovirus 1,Europa,5
Agamid adenovirus 1,North America,18
Agamid adenovirus 1,Oceans and Seas,4
Agamid atadenovirus Ben,Europa,1
Agamid atadenovirus Well,Europa,1
Agapanthus carlavirus B,Africa,6
Agapanthus tungrovirus,Africa,40
Agapanthus velarivirus,Africa,100
Agapanthus virus A,Africa,6
Agaricus bisporus alphaendornavirus 1,Europa,2
Agaricus bisporus mitovirus 1,Europa,1
Agaricus bisporus spherical virus,Asia,1
Agaricus bisporus spherical virus,Europa,2
Agaricus bisporus virus 1,Europa,3
Agaricus bisporus virus 10,Europa,2
Agaricus bisporus virus 11,Europa,2
Agaricus bisporus virus 12,Europa,1
Agaricus bisporus virus 13,Europa,3
Agaricus bisporus virus 14,Europa,1
Agaricus bisporus virus 15,Europa,1
Agaricus bisporus virus 16,Europa,4
Agaricus bisporus virus 2,Europa,3
Agaricus bisporus virus 3,Europa,3
Agaricus bisporus virus 5,Europa,3
Agaricus bisporus virus 6,Europa,6
Agaricus bisporus virus 7,Europa,5
Agaricus bisporus virus 8,Europa,3
Agaricus bisporus virus 9,Europa,3
Agaricus bisporus virus X,Europa,2
Agassiz Rock virus,Europa,1
Agave badnavirus A,North America,3
Agave tequilana leaf virus,North America,10
Agave virus T,North America,3
Agave vitivirus A,North America,5
Agave-associated rhabdovirus A,North America,6
Ageratum Yellow vein China virus - OX1,Asia,12
Ageratum conyzoides associated symptomless alphasatellite,Asia,10
Ageratum conyzoides symptomless alphasatellite,Asia,14
Ageratum enation alphasatellite,Asia,25
Ageratum enation virus,Asia,306
Ageratum enation virus associated DNA 1,Asia,1
Ageratum latent virus,Oceans and Seas,18
Ageratum leaf curl Buea betasatellite,Africa,2
Ageratum leaf curl Cameroon alphasatellite,Africa,12
Ageratum leaf curl Cameroon betasatellite,Africa,12
Ageratum leaf curl Cameroon virus,Africa,24
Ageratum leaf curl Sichuan virus,Asia,18
Ageratum leaf curl betasatellite,Asia,13
Ageratum leaf curl virus,Asia,20
Ageratum yellow leaf curl Pakistan alphasatellite,Asia,6
Ageratum yellow leaf curl betasatellite,Africa,1
Ageratum yellow leaf curl betasatellite,Asia,44
Ageratum yellow vein China alphasatellite,Asia,2
Ageratum yellow vein China betasatellite,Asia,21
Ageratum yellow vein China virus,Asia,504
Ageratum yellow vein Hualian virus,Asia,30
Ageratum yellow vein India alphasatellite,Asia,27
Ageratum yellow vein India betasatellite,Asia,2
Ageratum yellow vein Pakistan alphasatellite,Asia,5
Ageratum yellow vein Singapore alphasatellite,Asia,5
Ageratum yellow vein Sri Lanka betasatellite,Asia,2
Ageratum yellow vein Sri Lanka virus,Asia,12
Ageratum yellow vein Taiwan virus,Asia,17
Ageratum yellow vein alphasatellite,Asia,9
Ageratum yellow vein betasatellite,Asia,10
Ageratum yellow vein virus,Asia,339
Ageratum yellow vein virus,North America,24
Aglaonema bacilliform virus,North America,6
Agraulis vanillae MNPV,South America,3
Agrobacterium phage Atu_ph04,North America,48
Agrobacterium phage Atu_ph08,North America,75
